n,c,k,t_tot,dt_prim,dt_sec,mean_t_sec,dev_t_sec,m_tot,dm_prim,dm_sec,mean_m_sec,dev_m_sec
1000000,1.000000,2.767677,8917532,2435773.000000,6481759.000000,6.481759,21.691628,64005600.000000,56000000.000000,8005600.000000,8.005600,13.305153
1000000,1.000000,2.696970,9851924,2403457.000000,7448467.000000,7.448467,30.344836,63983056.000000,56000000.000000,7983056.000000,7.983056,13.191887
1000000,1.000000,2.626263,9239970,2460056.000000,6779914.000000,6.779914,33.604177,63995504.000000,56000000.000000,7995504.000000,7.995504,13.255695
1000000,1.000000,2.555556,10804230,2612356.000000,8191874.000000,8.191874,51.101100,64008016.000000,56000000.000000,8008016.000000,8.008016,13.289464
1000000,1.000000,2.484848,10225945,2601434.000000,7624511.000000,7.624511,45.609025,63991656.000000,56000000.000000,7991656.000000,7.991656,13.240371
1000000,1.000000,2.414141,10398263,2547603.000000,7850660.000000,7.850660,70.269381,63999200.000000,56000000.000000,7999200.000000,7.999200,13.264043
1000000,1.000000,2.343434,10704458,2590564.000000,8113894.000000,8.113894,30.124966,64005568.000000,56000000.000000,8005568.000000,8.005568,13.281098
1000000,1.000000,2.272727,9724394,2540879.000000,7183515.000000,7.183515,36.295980,63993520.000000,56000000.000000,7993520.000000,7.993520,13.241970
1000000,1.000000,2.202020,10374213,2588360.000000,7785853.000000,7.785853,45.479001,63996048.000000,56000000.000000,7996048.000000,7.996048,13.275481
1000000,1.000000,2.131313,9283393,2466034.000000,6817359.000000,6.817359,37.836866,63996904.000000,56000000.000000,7996904.000000,7.996904,13.250505
1000000,1.000000,2.060606,9306251,2305380.000000,7000871.000000,7.000871,30.430956,63998896.000000,56000000.000000,7998896.000000,7.998896,13.281279
1000000,1.000000,1.989899,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.919192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.848485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.777778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.707071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.636364,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.565657,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.494949,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.424242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.353535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.282828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,1.212121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,8.000000,10485185,2632439.000000,7852746.000000,7.852746,49.258615,63998648.000000,56000000.000000,7998648.000000,7.998648,13.263808
1000000,1.000000,1.141414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,7.929293,10393965,2525023.000000,7868942.000000,7.868942,31.476948,63998888.000000,56000000.000000,7998888.000000,7.998888,13.264163
1000000,1.000000,7.858586,10717109,2562991.000000,8154118.000000,8.154118,53.904660,64001400.000000,56000000.000000,8001400.000000,8.001400,13.263895
1000000,1.000000,1.070707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,7.717172,9552723,2517557.000000,7035166.000000,7.035166,33.587994,64003720.000000,56000000.000000,8003720.000000,8.003720,13.261651
1000000,1.000000,7.787879,10142380,2565228.000000,7577152.000000,7.577152,38.638425,63993408.000000,56000000.000000,7993408.000000,7.993408,13.244884
1000000,1.000000,1.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,1.000000,7.646465,10266513,2737671.000000,7528842.000000,7.528842,46.341307,64006376.000000,56000000.000000,8006376.000000,8.006376,13.282590
1000000,1.000000,7.575758,10145139,2451751.000000,7693388.000000,7.693388,41.456332,63992872.000000,56000000.000000,7992872.000000,7.992872,13.226908
