n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
1000000, 1.454545, 4.000000, 9785451, 2442164.000000, 7343287.000000, 7.343287, 33.470248, 68853992.000000, 56000000.000000, 12853992.000000, 12.853992, 19.906274
1000000, 1.424242, 4.000000, 9572872, 2457063.000000, 7115809.000000, 7.115809, 29.870214, 68534528.000000, 56000000.000000, 12534528.000000, 12.534528, 19.044658
1000000, 1.393939, 4.000000, 8574071, 2325558.000000, 6248513.000000, 6.248513, 20.968481, 68506984.000000, 56000000.000000, 12506984.000000, 12.506984, 18.870541
1000000, 1.363636, 4.000000, 9384807, 2383489.000000, 7001318.000000, 7.001318, 49.172586, 68453292.000000, 56000000.000000, 12453292.000000, 12.453292, 18.614314
1000000, 1.333333, 4.000000, 9760519, 2417269.000000, 7343250.000000, 7.343250, 54.663667, 68184000.000000, 56000000.000000, 12184000.000000, 12.184000, 17.947537
1000000, 1.303030, 4.000000, 9272210, 2441613.000000, 6830597.000000, 6.830597, 52.013694, 68114000.000000, 56000000.000000, 12114000.000000, 12.114000, 17.630133
1000000, 1.242424, 4.000000, 10145402, 2488661.000000, 7656741.000000, 7.656741, 35.318506, 71750232.000000, 56000000.000000, 15750232.000000, 15.750232, 31.270989
1000000, 1.272727, 4.000000, 10349272, 2535524.000000, 7813748.000000, 7.813748, 44.346366, 68103928.000000, 56000000.000000, 12103928.000000, 12.103928, 17.501956
1000000, 1.181818, 4.000000, 10212042, 2524723.000000, 7687319.000000, 7.687319, 39.691967, 66968984.000000, 56000000.000000, 10968984.000000, 10.968984, 15.821610
1000000, 1.212121, 4.000000, 10488955, 2530564.000000, 7958391.000000, 7.958391, 43.515104, 67036976.000000, 56000000.000000, 11036976.000000, 11.036976, 16.131235
1000000, 1.151515, 4.000000, 9616431, 2562802.000000, 7053629.000000, 7.053629, 39.735061, 66936228.000000, 56000000.000000, 10936228.000000, 10.936228, 15.612868
1000000, 1.121212, 4.000000, 9644708, 2411919.000000, 7232789.000000, 7.232789, 32.808499, 66887500.000000, 56000000.000000, 10887500.000000, 10.887500, 15.409718
1000000, 1.090909, 4.000000, 9749852, 2675057.000000, 7074795.000000, 7.074795, 42.556633, 66623528.000000, 56000000.000000, 10623528.000000, 10.623528, 14.756440
1000000, 1.030303, 4.000000, 10033110, 2447135.000000, 7585975.000000, 7.585975, 27.071016, 66529028.000000, 56000000.000000, 10529028.000000, 10.529028, 14.262514
1000000, 1.060606, 4.000000, 10705682, 2692180.000000, 8013502.000000, 8.013502, 46.378982, 69869052.000000, 56000000.000000, 13869052.000000, 13.869052, 26.496916
1000000, 1.000000, 4.000000, 10038664, 2557770.000000, 7480894.000000, 7.480894, 34.096598, 64002032.000000, 56000000.000000, 8002032.000000, 8.002032, 13.273897
1000000, 4.000000, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.969697, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.939394, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.909091, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.878788, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.848485, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.818182, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.787879, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.757576, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.727273, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.696970, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.666667, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.636364, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.606061, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.575758, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.545455, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.515152, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.484848, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.454545, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.424242, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.393939, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.363636, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.333333, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.303030, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.272727, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.242424, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.212121, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.181818, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.151515, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.121212, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.090909, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 3.060606, 4.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
