n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
1000000, 1.000000, 3.757576, 8887562, 2274143.000000, 6613419.000000, 6.613419, 28.689554, 64003000.000000, 56000000.000000, 8003000.000000, 8.003000, 13.301903
1000000, 1.000000, 3.686869, 9190725, 2404096.000000, 6786629.000000, 6.786629, 48.217186, 63990648.000000, 56000000.000000, 7990648.000000, 7.990648, 13.212833
1000000, 1.000000, 3.616162, 8449981, 2258889.000000, 6191092.000000, 6.191092, 35.455764, 64004384.000000, 56000000.000000, 8004384.000000, 8.004384, 13.277953
1000000, 1.000000, 3.545455, 7949461, 2244473.000000, 5704988.000000, 5.704988, 27.537362, 64003440.000000, 56000000.000000, 8003440.000000, 8.003440, 13.294695
1000000, 1.000000, 3.474747, 7906696, 2189870.000000, 5716826.000000, 5.716826, 20.681456, 64003800.000000, 56000000.000000, 8003800.000000, 8.003800, 13.262903
1000000, 1.000000, 3.404040, 8429750, 2295674.000000, 6134076.000000, 6.134076, 35.477806, 64002664.000000, 56000000.000000, 8002664.000000, 8.002664, 13.273988
1000000, 1.000000, 3.333333, 8305761, 2226475.000000, 6079286.000000, 6.079286, 23.340339, 63991008.000000, 56000000.000000, 7991008.000000, 7.991008, 13.240780
1000000, 1.000000, 3.262626, 8334800, 2233545.000000, 6101255.000000, 6.101255, 23.982847, 63999184.000000, 56000000.000000, 7999184.000000, 7.999184, 13.244241
1000000, 1.000000, 3.191919, 8887429, 2340527.000000, 6546902.000000, 6.546902, 27.045742, 64005208.000000, 56000000.000000, 8005208.000000, 8.005208, 13.298315
1000000, 1.000000, 3.121212, 9188019, 2363089.000000, 6824930.000000, 6.824930, 33.282048, 64005288.000000, 56000000.000000, 8005288.000000, 8.005288, 13.273343
1000000, 1.000000, 3.050505, 8950296, 2342770.000000, 6607526.000000, 6.607526, 37.234439, 63997416.000000, 56000000.000000, 7997416.000000, 7.997416, 13.240199
1000000, 1.000000, 2.979798, 8982320, 2282953.000000, 6699367.000000, 6.699367, 12.734311, 64016008.000000, 56000000.000000, 8016008.000000, 8.016008, 13.336390
1000000, 1.000000, 2.909091, 9311405, 2394439.000000, 6916966.000000, 6.916966, 25.923536, 63991768.000000, 56000000.000000, 7991768.000000, 7.991768, 13.259832
1000000, 1.000000, 2.838384, 9222262, 2472883.000000, 6749379.000000, 6.749379, 30.776188, 63991688.000000, 56000000.000000, 7991688.000000, 7.991688, 13.216357
1000000, 1.000000, 2.767677, 10113007, 2439288.000000, 7673719.000000, 7.673719, 31.130638, 64001984.000000, 56000000.000000, 8001984.000000, 8.001984, 13.276103
1000000, 1.000000, 2.696970, 9466031, 2385324.000000, 7080707.000000, 7.080707, 20.536247, 63996232.000000, 56000000.000000, 7996232.000000, 7.996232, 13.225109
1000000, 1.000000, 2.626263, 10647860, 2581542.000000, 8066318.000000, 8.066318, 26.405532, 63994808.000000, 56000000.000000, 7994808.000000, 7.994808, 13.243751
1000000, 1.000000, 2.555556, 10255232, 2599017.000000, 7656215.000000, 7.656215, 30.282743, 64002000.000000, 56000000.000000, 8002000.000000, 8.002000, 13.286042
1000000, 1.000000, 2.484848, 10489066, 2543801.000000, 7945265.000000, 7.945265, 40.421772, 64000056.000000, 56000000.000000, 8000056.000000, 8.000056, 13.288415
1000000, 1.000000, 2.414141, 10094888, 2663278.000000, 7431610.000000, 7.431610, 30.589386, 64003376.000000, 56000000.000000, 8003376.000000, 8.003376, 13.280412
1000000, 1.000000, 2.343434, 9628374, 2442529.000000, 7185845.000000, 7.185845, 25.132083, 63995152.000000, 56000000.000000, 7995152.000000, 7.995152, 13.259344
1000000, 1.000000, 2.272727, 10169406, 2488809.000000, 7680597.000000, 7.680597, 39.331488, 64005056.000000, 56000000.000000, 8005056.000000, 8.005056, 13.261024
1000000, 1.000000, 2.202020, 9669656, 2394368.000000, 7275288.000000, 7.275288, 24.682471, 64005832.000000, 56000000.000000, 8005832.000000, 8.005832, 13.288674
1000000, 1.000000, 2.131313, 9333071, 2341818.000000, 6991253.000000, 6.991253, 23.588085, 63994032.000000, 56000000.000000, 7994032.000000, 7.994032, 13.240571
1000000, 1.000000, 1.989899, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.919192, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 2.060606, 9513534, 2402560.000000, 7110974.000000, 7.110974, 32.398838, 63999712.000000, 56000000.000000, 7999712.000000, 7.999712, 13.250053
1000000, 1.000000, 1.848485, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.777778, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.707071, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.636364, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.565657, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.494949, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.424242, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.353535, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.282828, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 1.212121, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 7.929293, 9266917, 2509512.000000, 6757405.000000, 6.757405, 26.003134, 63998952.000000, 56000000.000000, 7998952.000000, 7.998952, 13.300489
1000000, 1.000000, 8.000000, 10193107, 2473416.000000, 7719691.000000, 7.719691, 39.026485, 63993088.000000, 56000000.000000, 7993088.000000, 7.993088, 13.240810
1000000, 1.000000, 1.141414, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 7.858586, 10298961, 2505550.000000, 7793411.000000, 7.793411, 36.029680, 64002768.000000, 56000000.000000, 8002768.000000, 8.002768, 13.269456
1000000, 1.000000, 7.787879, 10175590, 2532089.000000, 7643501.000000, 7.643501, 39.933551, 64005160.000000, 56000000.000000, 8005160.000000, 8.005160, 13.292763
1000000, 1.000000, 1.070707, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1000000, 1.000000, 7.717172, 10341577, 2535438.000000, 7806139.000000, 7.806139, 39.454962, 64002304.000000, 56000000.000000, 8002304.000000, 8.002304, 13.277383
1000000, 1.000000, 7.646465, 10019801, 2400753.000000, 7619048.000000, 7.619048, 27.383184, 68006640.000000, 56000000.000000, 12006640.000000, 12.006640, 24.671117
