n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
1000, 1.000000, 4.000000, 9362, 1886.000000, 7476.000000, 7.476000, 13.652085, 64088.000000, 56000.000000, 8088.000000, 8.088000, 13.813336
203000, 1.000000, 4.000000, 1958443, 500761.000000, 1457682.000000, 7.180700, 64.970731, 12997160.000000, 11368000.000000, 1629160.000000, 8.025419, 13.327782
304000, 1.000000, 4.000000, 2904760, 762971.000000, 2141789.000000, 7.045359, 57.299432, 19457624.000000, 17024000.000000, 2433624.000000, 8.005342, 13.311533
405000, 1.000000, 4.000000, 3751221, 1037249.000000, 2713972.000000, 6.701165, 61.194358, 25918968.000000, 22680000.000000, 3238968.000000, 7.997452, 13.254907
506000, 1.000000, 4.000000, 4325454, 1219579.000000, 3105875.000000, 6.138093, 50.367769, 32389608.000000, 28336000.000000, 4053608.000000, 8.011083, 13.312419
607000, 1.000000, 4.000000, 5597294, 1532274.000000, 4065020.000000, 6.696903, 43.845707, 38849088.000000, 33992000.000000, 4857088.000000, 8.001792, 13.269141
708000, 1.000000, 4.000000, 6346592, 1759042.000000, 4587550.000000, 6.479590, 37.621260, 45304504.000000, 39648000.000000, 5656504.000000, 7.989412, 13.215113
809000, 1.000000, 4.000000, 7465418, 2178323.000000, 5287095.000000, 6.535346, 37.756393, 51773680.000000, 45304000.000000, 6469680.000000, 7.997132, 13.243010
910000, 1.000000, 4.000000, 9157669, 2504716.000000, 6652953.000000, 7.310937, 53.476406, 58232344.000000, 50960000.000000, 7272344.000000, 7.991587, 13.243337
1011000, 1.000000, 4.000000, 9594316, 2672081.000000, 6922235.000000, 6.846919, 39.904125, 64705344.000000, 56616000.000000, 8089344.000000, 8.001329, 13.275729
1112000, 1.000000, 4.000000, 10221831, 2899959.000000, 7321872.000000, 6.584417, 43.071220, 71173704.000000, 62272000.000000, 8901704.000000, 8.005129, 13.274935
1213000, 1.000000, 4.000000, 11805049, 3161900.000000, 8643149.000000, 7.125432, 47.090081, 77634600.000000, 67928000.000000, 9706600.000000, 8.002143, 13.278348
1314000, 1.000000, 4.000000, 11876996, 3205598.000000, 8671398.000000, 6.599237, 41.076752, 84099624.000000, 73584000.000000, 10515624.000000, 8.002758, 13.296624
1718000, 1.000000, 4.000000, 16766694, 4424261.000000, 12342433.000000, 7.184187, 55.523352, 109938856.000000, 96208000.000000, 13730856.000000, 7.992349, 13.228580
2223000, 1.000000, 4.000000, 20696438, 5603313.000000, 15093125.000000, 6.789530, 47.432265, 142277728.000000, 124488000.000000, 17789728.000000, 8.002577, 13.281539
2324000, 1.000000, 4.000000, 21143944, 5975062.000000, 15168882.000000, 6.527058, 41.024893, 148739376.000000, 130144000.000000, 18595376.000000, 8.001453, 13.271273
2728000, 1.000000, 4.000000, 25924073, 7006112.000000, 18917961.000000, 6.934736, 48.791249, 174585088.000000, 152768000.000000, 21817088.000000, 7.997466, 13.255453
2627000, 1.000000, 4.000000, 25904065, 6445902.000000, 19458163.000000, 7.406990, 41.145107, 168130920.000000, 147112000.000000, 21018920.000000, 8.001112, 13.261201
4344000, 1.000000, 4.000000, 43076222, 11269633.000000, 31806589.000000, 7.321959, 48.425412, 277989328.000000, 243264000.000000, 34725328.000000, 7.993860, 13.238185
4243000, 1.000000, 4.000000, 42721090, 11270855.000000, 31450235.000000, 7.412264, 44.080377, 271529384.000000, 237608000.000000, 33921384.000000, 7.994670, 13.245569
1617000, 1.000000, 4.000000, 16503162, 4175752.000000, 12327410.000000, 7.623630, 34.542627, 103489176.000000, 90552000.000000, 12937176.000000, 8.000727, 13.277336
