n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
100, 2.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
100, 1.121212, 1.141414, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
100, 1.787879, 1.141414, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
100, 2.151515, 1.494949, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
100, 2.878788, 2.202020, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
100, 1.303030, 3.686869, 933, 225.000000, 708.000000, 7.080000, 1.665413, 6744.000000, 5600.000000, 1144.000000, 11.440000, 13.398746
100, 1.181818, 6.585859, 926, 230.000000, 696.000000, 6.960000, 2.009577, 6772.000000, 5600.000000, 1172.000000, 11.720000, 19.921887
2500075, 3.969697, 5.242424, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
7500025, 3.515152, 2.696970, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.939394, 8.000000, 103451372, 27455967.000000, 75995405.000000, 7.599540, 41.863768, 879424016.000000, 560000000.000000, 319424016.000000, 31.942402, 52.780052
10000000, 3.696970, 8.000000, 103648088, 27548934.000000, 76099154.000000, 7.609915, 38.015977, 863865344.000000, 560000000.000000, 303865344.000000, 30.386534, 49.538200
10000000, 3.212121, 8.000000, 104138350, 27726794.000000, 76411556.000000, 7.641156, 37.364530, 830119068.000000, 560000000.000000, 270119068.000000, 27.011907, 42.504766
10000000, 2.242424, 8.000000, 104323680, 28275636.000000, 76048044.000000, 7.604804, 38.707874, 752763736.000000, 560000000.000000, 192763736.000000, 19.276374, 29.907931
10000000, 1.515152, 7.858586, 103228501, 27631541.000000, 75596960.000000, 7.559696, 38.183490, 696556856.000000, 560000000.000000, 136556856.000000, 13.655686, 20.724925
10000000, 3.333333, 7.929293, 105067435, 27879944.000000, 77187491.000000, 7.718749, 39.252378, 841584792.000000, 560000000.000000, 281584792.000000, 28.158479, 44.351687
10000000, 1.484848, 7.858586, 104228595, 27106981.000000, 77121614.000000, 7.712161, 40.479351, 688474624.000000, 560000000.000000, 128474624.000000, 12.847462, 19.926333
10000000, 1.454545, 7.858586, 102941236, 27129010.000000, 75812226.000000, 7.581223, 41.978942, 743657872.000000, 560000000.000000, 183657872.000000, 18.365787, 36.655204
10000000, 1.424242, 7.858586, 101352969, 27077479.000000, 74275490.000000, 7.427549, 43.194132, 685148612.000000, 560000000.000000, 125148612.000000, 12.514861, 18.935177
